Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB35,OUT027,2503.7847806060386
FDA22,OUT017,2161.1003808074483
NCL06,OUT046,4422.620463532687
FDI35,OUT013,3490.300968563877
NCW42,OUT045,3885.5425464813607
NCX06,OUT049,2888.4282613959945
FDC37,OUT027,2530.402612789503
FDZ14,OUT018,1946.4742997109722
DRG49,OUT049,4357.950581314533
NCG06,OUT045,3510.0827803245566
DRC36,OUT045,2695.7127168962656
FDV21,OUT019,401.2406606277884
FDB53,OUT046,3163.4516619753726
DRP47,OUT019,503.76413237096114
FDA14,OUT013,2061.023912568325
DRC24,OUT035,2673.2018823935
FDW21,OUT018,1604.4016018453701
NCH29,OUT046,1638.516373183431
FDU58,OUT013,3252.1282431936443
FDY27,OUT017,2413.926265970874
FDV56,OUT035,1635.01826667483
FDT59,OUT046,4520.310774644454
FDB23,OUT046,3118.8925001829234
FDR49,OUT045,780.8565687450149
FDB03,OUT010,574.799708568175
FDN39,OUT045,3073.9609707074064
FDX02,OUT027,5725.033831716647
FDQ16,OUT027,2320.731888780127
FDU35,OUT018,1565.202660284053
NCT29,OUT013,1934.9558025745787
FDZ27,OUT046,797.2329803013636
FDN57,OUT017,2027.0027680426238
FDA03,OUT018,2322.130794117621
FDZ36,OUT045,3378.9237331814356
NCU05,OUT013,1207.5627155056184
FDT39,OUT018,2464.139162773304
FDK60,OUT017,1564.9984190696005
FDZ25,OUT017,3152.234722947325
FDG12,OUT046,2320.0728749480904
DRB01,OUT019,460.0023628463559
NCC43,OUT027,5827.27115401824
FDX13,OUT019,418.4627437318655
FDM22,OUT049,953.7700007137262
FDJ03,OUT027,1334.799385310093
FDU14,OUT018,3691.755690842449
FDB33,OUT010,411.63689219977425
FDP27,OUT046,3590.4076248303286
FDO38,OUT010,165.882692799254
FDE28,OUT027,6125.731977976762
FDO27,OUT035,1746.8211573653605
DRL23,OUT027,2338.660141635209
FDS28,OUT046,826.3606388617361
FDX24,OUT013,1386.31375389075
FDZ02,OUT035,1525.642566400226
FDL46,OUT045,1698.5414989730155
FDS60,OUT027,4943.619928855955
NCO06,OUT017,489.32995580254516
FDO16,OUT035,1603.5446019725719
FDC60,OUT049,1643.130524937171
FDA48,OUT018,3866.020986944941
FDZ36,OUT027,5129.501508779593
FDK27,OUT045,2023.5829867753082
FDW23,OUT018,447.35249745025936
FDM14,OUT018,1379.1022835613526
FDM14,OUT013,1496.1690977320268
FDW60,OUT018,2724.28630867077
FDE21,OUT013,1813.003480298072
NCM42,OUT035,1773.7028570209482
FDY59,OUT010,214.88815207596411
DRI49,OUT049,1456.1228690689957
FDT28,OUT019,284.8599615606821
FDQ22,OUT018,404.50541679975834
FDR60,OUT049,1384.283648301259
FDC50,OUT019,259.3831969666051
FDV24,OUT013,2363.7078309020194
DRF48,OUT010,687.0919593000947
FDQ47,OUT046,600.6056831388427
DRN36,OUT049,1647.0095663380946
NCY06,OUT035,2098.363322219256
FDE52,OUT035,1265.278501591576
NCB54,OUT045,1705.4672234160826
NCF31,OUT035,2354.185446890592
FDJ08,OUT027,5428.103317863794
NCC07,OUT017,1573.0433513082057
NCD19,OUT027,1588.6194062749678
FDL46,OUT049,2178.7404684816124
FDM20,OUT045,4216.907307511129
NCI06,OUT010,482.0008035301676
DRM11,OUT035,4819.2922412606895
NCH07,OUT018,2301.843001986101
FDS23,OUT013,2275.7041574113905
FDO49,OUT018,653.0734004199845
FDS35,OUT049,1033.830769992596
DRK39,OUT045,1557.0898897179943
DRI39,OUT049,843.0400468175038
FDV04,OUT017,2286.5957665972032
NCN14,OUT035,3043.918250302659
FDH08,OUT013,4184.438611240865
FDS20,OUT046,3551.728976904527
FDV40,OUT049,1100.5558092135907
FDZ48,OUT010,233.6500665165864
FDS24,OUT027,2342.970664030998
FDK44,OUT049,2475.110054509976
FDS48,OUT045,2711.312296040541
FDK26,OUT010,674.4168383738019
FDD23,OUT045,2718.8767310811613
NCH54,OUT017,2613.597394847134
NCP14,OUT010,222.3508474794839
FDM60,OUT010,71.71989498555035
FDV24,OUT017,2399.5954472265157
FDH08,OUT018,2896.7931413389683
FDS12,OUT027,3735.992733818829
FDR39,OUT027,4825.045819515682
FDP12,OUT027,890.9883301185207
DRF60,OUT027,5277.554199433011
FDC09,OUT035,1709.6346970804848
FDF50,OUT018,2964.4579247733145
FDG28,OUT035,3554.016424276115
NCE19,OUT017,889.1167368103062
NCM53,OUT010,243.09255129495116
NCN18,OUT049,1527.1264955913261
FDF32,OUT035,3217.3806988297592
FDF11,OUT013,4516.9193971842415
DRI59,OUT049,4223.288500644993
NCG54,OUT035,2711.4129613456907
FDM44,OUT046,1638.7465684147735
FDT57,OUT018,2589.349384763419
FDV24,OUT046,2334.5745155216323
FDI50,OUT019,488.0128445516718
FDS09,OUT035,754.607812836585
NCC31,OUT027,3541.7846700091086
FDQ07,OUT019,586.6092279311198
FDC22,OUT017,3715.392605600933
FDZ56,OUT046,2977.375831806044
FDZ40,OUT019,173.3974109285363
FDS46,OUT027,2682.685613586121
DRD24,OUT045,2144.6254817958165
FDV45,OUT017,3011.2906222268584
FDL26,OUT045,2806.34028893716
FDA56,OUT018,1728.2729188111427
FDN27,OUT046,1752.1301651335973
FDM20,OUT049,4468.469346781937
FDO16,OUT017,1702.9830170546459
FDL03,OUT035,2990.8958291397053
FDE58,OUT046,1839.741174188969
FDI02,OUT027,3183.807632341568
NCC55,OUT019,65.9623860406047
FDR03,OUT018,3108.01123465388
FDB14,OUT017,1399.613678001654
FDR45,OUT013,4199.207292489289
NCN07,OUT017,2117.3318190526647
FDM51,OUT019,254.3576632442364
FDT52,OUT027,6338.989639917131
FDL26,OUT046,2754.106549951178
NCZ42,OUT046,4214.12445570968
DRI47,OUT019,384.5216701844456
FDW40,OUT013,2386.1691291738425
FDN34,OUT046,3160.4251432643764
FDS01,OUT035,3094.922479139905
NCG55,OUT045,1956.3259432972864
FDC11,OUT035,1290.4980213360827
FDX35,OUT018,2854.449858928675
NCB06,OUT046,2668.803079749783
FDR09,OUT019,591.0528952541362
FDC53,OUT017,1394.6186689226577
FDY45,OUT013,4137.424799259932
FDA22,OUT010,357.51381004762254
FDE02,OUT035,1577.345404655384
FDW21,OUT045,1792.3453102606043
FDV34,OUT046,1238.7160172445842
FDS59,OUT049,1862.3809104865986
NCW17,OUT017,2724.9669005158407
NCK54,OUT046,1733.9013830797098
FDG17,OUT019,403.14673797285633
FDG35,OUT017,2942.446454810194
FDD08,OUT010,74.26712501809179
NCO07,OUT017,3930.1921520210076
FDJ10,OUT010,291.938991489087
FDW36,OUT017,1648.2609037287489
FDW21,OUT010,192.04013662844116
FDY19,OUT017,1815.358912973263
DRE03,OUT013,782.9554754818187
NCC55,OUT049,767.270634340924
FDH52,OUT010,150.46856281006157
FDO09,OUT017,4569.400591403325
FDU43,OUT045,4535.633826765006
FDX09,OUT010,332.7843980199592
FDH40,OUT019,249.1167688551711
FDW58,OUT017,1741.954440935287
FDC47,OUT017,4770.437981829138
NCR41,OUT035,1439.1337130010002
DRG49,OUT035,4098.166549519149
FDC52,OUT027,4368.538826572392
FDY13,OUT046,1156.448440721492
FDY35,OUT013,627.5288100482327
FDI35,OUT017,3576.3505318685748
NCU18,OUT049,2171.400024742799
FDY33,OUT018,2508.9372863156846
FDC15,OUT027,3457.948025197499
FDU01,OUT049,3436.935169079317
NCU42,OUT046,3543.0239469556127
NCV29,OUT018,2713.7820436037605
NCY30,OUT017,3195.7580643543292
FDQ46,OUT049,1581.3859841034412
FDG58,OUT027,3657.029130578118
FDK33,OUT017,3758.548589105838
NCD07,OUT045,1383.1678804483465
NCX29,OUT027,3653.296962376798
NCT42,OUT013,2282.0933663860383
DRN59,OUT035,756.2343384799658
FDI44,OUT035,1359.3064336280759
FDA45,OUT049,2509.271405217856
FDP31,OUT045,1068.5074289218273
FDY01,OUT046,1920.9788290396127
FDT09,OUT018,1877.7164318992777
DRH03,OUT027,2313.265746477028
FDA36,OUT018,2799.24899950902
NCF31,OUT017,2243.210801442232
FDG14,OUT049,2425.964256718709
FDG28,OUT027,5954.576802243742
FDU14,OUT049,4077.6981380203642
FDY47,OUT019,264.6926844787166
FDI56,OUT049,1252.8963543603934
DRD01,OUT013,713.0929744319973
FDM22,OUT046,949.8454754254666
FDH33,OUT013,644.4058082398508
DRZ24,OUT013,2355.359892132117
NCQ38,OUT046,1593.4486020162758
FDO16,OUT027,2172.6202051606806
FDU07,OUT027,3998.2773638780063
NCB07,OUT013,2700.0438121764996
FDU48,OUT045,1686.8677888954355
NCM43,OUT045,2714.7346892335463
FDR31,OUT010,299.7247273138553
DRK49,OUT018,403.2640340778391
NCI30,OUT010,534.5825455641814
DRD60,OUT017,3214.2786343282482
NCG19,OUT046,3319.745349189303
FDH12,OUT035,1628.9194979392228
FDM32,OUT035,1473.67057407347
FDM27,OUT035,2536.395151077565
NCU53,OUT027,4930.756849935254
NCQ18,OUT046,1437.9591482113797
FDS10,OUT013,3054.048041345221
FDB33,OUT027,4269.2081927082145
FDI12,OUT013,1260.3558839978348
NCW42,OUT013,3947.2207837469937
NCC06,OUT018,2142.2353386376917
FDW02,OUT017,2405.7592333375997
NCD43,OUT017,1916.0302117631513
FDM57,OUT018,1204.0807461198388
FDA58,OUT017,3463.7387292117
FDK56,OUT046,3370.960414753012
FDP52,OUT045,3592.5218359616047
FDW20,OUT018,1928.9011797251499
FDS52,OUT049,1632.492836551582
NCT29,OUT018,1841.105424479965
NCL54,OUT013,3223.11129389358
FDC05,OUT045,2996.501224588266
FDF34,OUT035,3362.704926164776
FDP03,OUT027,3396.357110680328
FDD32,OUT010,183.9113556252866
FDZ10,OUT045,2523.69697671113
FDZ40,OUT035,875.8366352019752
FDD51,OUT018,482.6816443625326
NCY30,OUT019,481.84424176106165
FDP58,OUT017,3571.903485995686
FDV49,OUT017,4021.243104514612
FDY24,OUT019,129.3520552290948
NCO55,OUT017,1759.831709075154
FDR13,OUT017,1826.5961527434222
FDS51,OUT017,1036.4757424282732
FDP26,OUT045,1445.879949440216
NCB54,OUT027,4046.4234288771454
FDF32,OUT017,3166.9661822424478
FDN31,OUT018,2841.455796415075
DRM48,OUT017,657.4436363056108
FDN20,OUT049,3090.043654791596
DRL01,OUT046,3443.6126266977667
FDV56,OUT049,1569.8375839671064
DRH13,OUT027,2463.739489658966
FDA03,OUT017,2628.363569470476
FDF47,OUT027,6579.129426909318
FDX32,OUT046,3068.7961372949253
FDX57,OUT049,1720.2973970363191
NCA30,OUT045,3072.243585222782
FDO49,OUT013,727.910400870887
FDL04,OUT019,238.58734021443334
DRM48,OUT035,696.9603635992122
FDR16,OUT013,3576.6538222578833
NCC19,OUT018,3184.573109785176
NCE42,OUT045,3010.7798239775466
FDY24,OUT017,1015.4252325267829
FDH19,OUT049,2693.675705325304
FDJ46,OUT013,2582.8513540426716
FDN45,OUT010,621.0593144377464
FDY08,OUT035,2105.4782044151984
FDZ37,OUT035,1336.2465688657019
NCT30,OUT045,732.7123979321701
DRY23,OUT018,495.29163304366483
NCZ30,OUT018,1942.7746295954357
FDC44,OUT018,1759.9172596628014
FDB45,OUT035,1621.6901258908163
FDY04,OUT013,2430.0218292253953
FDM27,OUT046,2920.3605847297868
FDZ43,OUT017,4220.599621112915
FDT39,OUT019,433.0778030831499
NCC06,OUT019,292.0529485186994
FDL15,OUT027,3899.9952293480605
FDL57,OUT017,5258.380446676393
FDU08,OUT046,1211.157678122724
FDK40,OUT017,4240.754422789085
FDQ12,OUT010,649.8599253712155
FDS48,OUT017,2857.1286237825125
FDP09,OUT045,3581.2896603000613
FDW21,OUT049,1616.2945754224472
FDY25,OUT035,3452.1504733745137
DRE13,OUT017,1396.601882208818
FDV43,OUT019,77.33422979065101
FDD22,OUT045,1741.491318827994
FDM46,OUT019,292.1003349822647
NCO30,OUT010,504.50972918454517
FDM25,OUT046,2927.8072156907538
NCN41,OUT049,1981.1906199660318
FDU24,OUT045,1549.70841635736
FDZ50,OUT046,3024.780237167563
FDP45,OUT013,4154.739629137804
NCM54,OUT045,1809.3288396447776
FDW10,OUT019,444.09711715345463
FDP20,OUT017,1841.3143185230708
FDK32,OUT046,2695.4702430423176
FDN52,OUT049,1127.531710082103
FDM58,OUT045,1810.4659932309632
FDZ46,OUT027,2870.9198284176755
NCA18,OUT018,1667.157747658372
FDD35,OUT046,2393.5640804994
NCK31,OUT035,658.9986852543061
FDI40,OUT027,2872.6422248249546
FDT50,OUT019,238.07555665764139
NCT06,OUT046,2507.974060416149
FDT31,OUT035,2680.0266611478273
FDT45,OUT049,912.8368547237528
FDT13,OUT045,3311.007485456385
FDO50,OUT045,1430.8832056945746
NCU18,OUT010,320.66320444501935
NCR54,OUT049,3248.8688012144426
NCO18,OUT018,2752.3166851986325
FDU09,OUT045,727.5849682849607
FDT13,OUT018,3021.226985022555
FDE09,OUT046,1547.3656515978928
NCK53,OUT019,275.7783576861934
FDG45,OUT049,3340.118255607133
DRH15,OUT035,721.4077495237295
FDO21,OUT019,580.479144259456
FDD14,OUT027,5422.041550190965
FDC09,OUT046,1664.4149989865784
FDH45,OUT027,960.1055072930735
FDV32,OUT046,1164.3112306485107
FDG12,OUT035,1985.3812676431783
FDS32,OUT013,1924.9132300099207
NCL55,OUT018,3334.303137290872
DRE01,OUT035,3567.728576514545
DRE15,OUT049,1390.5268797742149
NCL42,OUT045,4188.130433177085
FDP31,OUT013,995.3457622871673
FDN33,OUT018,1400.3943156408484
FDZ59,OUT046,2545.1597868878607
FDE45,OUT010,373.7214303269653
FDJ07,OUT013,1928.5555868319357
FDQ45,OUT018,3146.7947854893782
FDM33,OUT027,6198.948727656855
FDO15,OUT010,163.76266561725961
FDM46,OUT013,1528.0582757786774
FDR03,OUT045,3357.7083645743623
FDY49,OUT018,2367.1612745950997
FDQ60,OUT045,2149.514544539148
FDW10,OUT049,2648.8942807037747
FDO51,OUT049,689.5326827820413
FDJ40,OUT018,1393.9014483535018
FDS20,OUT018,3244.4471467654116
FDU45,OUT013,1895.7111826453156
FDV02,OUT035,2728.4015323594635
FDN09,OUT046,3887.335418316007
NCM55,OUT027,5471.347957485052
FDN23,OUT018,2445.718049523452
FDY31,OUT010,317.7971369304332
FDW03,OUT010,230.09303568190467
FDD14,OUT046,2835.0447434091348
FDV23,OUT017,1951.1421279447216
DRI03,OUT045,2355.945317852058
FDN13,OUT035,1539.420722537484
FDF45,OUT027,1795.1792958361518
FDU46,OUT035,1379.4698164699812
FDB57,OUT049,3530.1189017486086
FDV12,OUT049,1679.914439256353
FDQ58,OUT013,2123.421215985331
NCA18,OUT017,1621.1787403819092
FDH52,OUT049,837.2931673068409
FDM24,OUT018,2651.156390957624
NCP43,OUT027,4650.093182306544
NCO18,OUT019,460.9085847446323
FDM32,OUT017,1316.4630000033133
NCL07,OUT017,566.8296618878411
FDK03,OUT013,4585.584876959418
FDP59,OUT017,1543.8369068378233
FDQ24,OUT049,3972.3404468022873
FDQ16,OUT018,1381.4199720029683
FDU44,OUT013,2579.2503764290977
FDH28,OUT010,91.0546649682963
FDV28,OUT019,81.19229444709104
FDM22,OUT045,935.2712552827196
FDR56,OUT046,3446.175066579276
FDV39,OUT049,3369.959829601937
FDU37,OUT019,206.89893192642825
FDQ11,OUT010,696.4895135989896
FDX02,OUT045,4077.6388852639457
NCS42,OUT018,1475.5755138052884
FDB21,OUT049,3430.055782584289
FDE28,OUT017,3888.1333809744674
FDQ55,OUT017,2403.8485165852167
FDA48,OUT049,3784.563457981315
FDZ19,OUT045,2280.7577802842607
NCC43,OUT045,3401.5861074520776
NCV18,OUT046,1814.1865719169375
NCA42,OUT018,2848.6223212738573
FDY45,OUT046,3981.170275832505
NCC30,OUT045,2675.5389678184306
FDM57,OUT013,1354.2358211444437
FDL09,OUT010,446.44381114672666
FDB09,OUT027,3671.342978616746
FDT44,OUT035,1880.1522787034642
NCT06,OUT027,4153.834322133095
FDX26,OUT049,3475.5992609748814
FDK32,OUT013,2625.2570835635684
DRA12,OUT046,2223.4417434011466
FDO46,OUT010,457.5558136465439
FDE52,OUT013,1199.208174491086
NCH42,OUT045,4343.915393097871
FDV08,OUT035,682.0233123063705
FDB47,OUT018,3490.6813861620108
FDC28,OUT010,225.7782722709835
FDD22,OUT046,1917.7442156782552
FDS07,OUT027,3361.4283026362255
DRI13,OUT045,3398.4586446173935
FDG32,OUT018,3896.347359075898
FDU14,OUT017,3864.09724972905
FDD28,OUT019,169.03890798426738
NCP41,OUT017,1576.1279925077292
FDS08,OUT049,2339.364215845831
FDX47,OUT045,2350.2679900948624
FDC53,OUT019,249.92507757046764
FDQ19,OUT035,3850.1147547787978
FDL14,OUT045,2288.9263152746976
FDM33,OUT019,594.3984920048416
FDA51,OUT045,1993.0449751518088
FDZ27,OUT018,685.0336478533554
FDT04,OUT046,586.5502687348843
DRC13,OUT049,2104.6172216126224
FDR16,OUT027,5391.475087925914
FDQ03,OUT027,6499.588613726342
FDE38,OUT035,2139.773670860554
DRH23,OUT027,1742.3077773638424
FDT11,OUT019,610.285015435371
FDD09,OUT035,2718.0582982408296
FDR40,OUT045,1372.7423365968746
FDX07,OUT017,3448.2760477864194
FDR07,OUT035,1629.2246641779739
FDA51,OUT017,1981.4364782368211
FDT59,OUT019,625.3629695051926
FDF20,OUT017,3327.545440015987
FDR13,OUT045,2000.3196646898202
FDY26,OUT049,4091.9672274652835
FDW04,OUT017,2188.72338149871
FDK52,OUT017,4705.7492242896915
FDN60,OUT049,2972.4097150494217
FDM09,OUT019,422.1320801860733
FDP46,OUT049,1385.9449150220812
FDB50,OUT019,212.6262368516737
NCQ29,OUT049,3927.1620281493856
FDP16,OUT027,6441.645417983927
FDX33,OUT018,2348.3050308660404
FDP07,OUT010,423.9378483649785
FDN22,OUT046,3980.7354533876805
FDF39,OUT049,3910.810767169517
FDS21,OUT017,997.6868877272102
NCM42,OUT013,1638.0404459237893
FDK50,OUT019,469.2300052768942
DRF13,OUT027,3550.9828655701053
FDH35,OUT018,2167.1722000764476
FDP60,OUT018,1463.857160032876
DRJ49,OUT027,3450.0561447700857
NCT42,OUT019,398.89403565160103
FDE38,OUT049,2380.5692948092383
FDI04,OUT049,3379.0914656574337
NCH54,OUT045,2448.8727353539934
FDT56,OUT049,960.6161914415677
DRD15,OUT018,3070.01595115374
FDV58,OUT013,2363.5869490978594
FDP21,OUT049,3659.699244939393
FDH05,OUT013,3698.278380798872
FDR10,OUT027,4758.818172692082
NCP06,OUT045,2266.573662643176
FDF33,OUT049,1592.1404590183831
DRK37,OUT013,2938.107547705695
DRH49,OUT045,1174.3351271122094
FDT58,OUT013,2391.8708488221423
FDD41,OUT018,1654.3981952326849
FDP40,OUT018,1727.9712439009916
FDM51,OUT027,2742.4607981784898
FDO45,OUT010,195.86812735744004
FDW33,OUT010,206.79134315152885
FDY24,OUT045,850.7137829184104
FDB10,OUT010,601.4948854315882
FDM40,OUT035,2023.01619204927
NCI06,OUT017,3269.5970500215126
FDW12,OUT019,334.15672740709334
FDX48,OUT027,4007.76691011204
NCW05,OUT027,2464.077296668142
FDX27,OUT017,1676.7365585828456
DRM37,OUT045,3207.536156524545
FDA38,OUT045,4099.253989440522
FDR36,OUT046,738.0326873660042
FDZ45,OUT046,3308.9143468503557
FDG05,OUT017,2718.7747730043566
FDK28,OUT013,5242.947980431223
FDV47,OUT045,1414.5680706953315
FDN21,OUT045,2610.7310852401592
FDP20,OUT027,3268.9643485489255
FDI35,OUT045,3344.91845900499
DRY23,OUT013,770.8703418416
FDA56,OUT017,2234.6444140524545
FDB09,OUT013,1852.1382870605821
NCO26,OUT027,2809.415122356746
FDQ49,OUT018,2534.5556112370687
FDI52,OUT027,3270.6361806139985
FDZ44,OUT027,2900.7662793963323
FDZ09,OUT018,2392.7738731509294
FDY03,OUT049,2085.3448841824747
NCG42,OUT017,2199.4728943233854
DRI13,OUT027,6180.856808908247
FDQ32,OUT013,2153.435132348691
FDW16,OUT035,1284.1140231809627
FDU27,OUT046,886.5063429094017
FDR28,OUT010,414.98779194804797
FDQ49,OUT010,367.4635491113113
FDS37,OUT046,1899.3540603262368
FDW26,OUT018,3293.0611701825515
FDX12,OUT018,3032.4822820199315
NCP06,OUT013,2425.1608968491482
FDW45,OUT010,324.9379695947212
NCN30,OUT049,1492.3256282880081
FDN24,OUT049,938.1198692303957
NCL41,OUT027,934.1749901174769
FDR02,OUT019,283.7967201809951
FDD09,OUT010,497.44321895835503
FDS33,OUT010,197.3077722955707
FDU22,OUT045,2072.7668374753184
FDI53,OUT013,2464.5127631396876
DRH01,OUT049,3002.9017611501085
FDX32,OUT013,2209.698177638552
NCP30,OUT018,407.8681584141277
FDB60,OUT045,3171.5165400432957
FDB14,OUT049,1567.8515054486888
NCP02,OUT035,749.1868824995685
FDJ10,OUT017,2213.413591439292
FDG34,OUT046,1674.7652490962969
NCB18,OUT017,1385.4705398654146
FDM16,OUT049,1227.2374453657892
FDW25,OUT018,1533.6048405450747
FDB35,OUT010,200.35692967727957
DRN11,OUT013,2251.918363114176
FDF41,OUT019,534.9841892020845
FDH16,OUT045,1289.5170426467675
NCQ50,OUT018,3077.016174799029
DRH23,OUT018,782.4782067270885
DRJ37,OUT013,2076.430781311888
DRJ24,OUT027,5548.3765058884055
FDY16,OUT035,3019.92259868138
FDQ27,OUT045,1912.0114112163656
FDZ33,OUT045,2443.8149019987486
FDF29,OUT045,2239.6814237301196
FDA08,OUT049,2307.163901505239
FDG31,OUT046,1139.0921034501578
FDE34,OUT019,473.5323436910144
NCR30,OUT027,2161.5719211663986
FDV33,OUT035,4656.098791431291
DRZ24,OUT018,1755.8021450327283
NCL54,OUT035,3130.7134891699716
FDR12,OUT049,2631.0149282705065
NCC54,OUT046,4252.826929516501
DRN59,OUT013,814.81902326508
FDX50,OUT019,221.64869240883738
FDV31,OUT027,5707.665957252896
NCA29,OUT027,4776.708882981342
FDW60,OUT049,2938.95745808256
FDX08,OUT017,3708.1512360756337
DRD49,OUT013,3695.958714595418
FDD33,OUT046,3729.5221328354796
FDW35,OUT013,724.505382305008
FDJ36,OUT017,1848.4470749143693
FDV51,OUT035,3130.2525972863496
FDW36,OUT046,1619.3804837671069
FDH35,OUT046,2363.553280547458
NCS30,OUT027,3288.14632042355
FDN49,OUT017,554.902764146032
FDL08,OUT018,2739.0281223047114
FDI09,OUT013,4026.1451519756415
FDP19,OUT018,1799.2871354438082
FDU21,OUT010,82.63202033487016
NCP41,OUT045,1518.5092541477295
FDY10,OUT013,1719.4056528733622
FDP12,OUT018,406.09908035852345
NCN26,OUT049,1851.8803695931997
FDK44,OUT013,2772.0442872251742
FDC28,OUT049,1547.9568007983173
FDJ41,OUT027,6735.245371407294
NCT29,OUT035,2011.5727668746779
NCH42,OUT019,403.9559374177511
FDU60,OUT018,2419.203065362934
FDS02,OUT045,3666.1616951804594
FDC51,OUT046,2361.578225098974
FDU03,OUT013,3420.512456787584
FDX39,OUT045,3549.6435929430504
NCY05,OUT010,81.99238401047734
NCL06,OUT027,5656.7107211116545
FDD32,OUT035,1231.435441941015
NCN41,OUT045,1787.865490887498
NCX53,OUT049,2429.9122977020074
FDU57,OUT019,384.8077803216724
FDQ23,OUT046,1761.6239114329805
FDQ52,OUT045,4565.823174359182
FDC14,OUT045,566.4674348164972
FDY09,OUT035,3140.2840820803012
FDQ28,OUT045,2727.5909367985887
FDV25,OUT046,4374.164197280238
FDJ07,OUT035,1950.94733330822
DRB25,OUT049,1680.8509390807849
FDK52,OUT019,580.1049721731092
FDY52,OUT027,1797.4251219673422
FDB28,OUT046,3107.610031289161
FDT36,OUT035,603.037248772798
FDV25,OUT017,4164.715524436834
NCN07,OUT027,3436.4353072012286
FDC57,OUT017,3182.6481984497755
FDQ03,OUT018,3079.347314099933
FDU23,OUT017,3225.637962190156
NCX41,OUT035,3408.3097610243103
NCD06,OUT035,715.2393654804249
FDW08,OUT045,1571.1855213574568
NCU29,OUT017,2619.751206116782
NCE06,OUT013,2319.802886184791
FDV52,OUT010,284.5197538154212
FDB02,OUT017,2972.392515676318
NCR18,OUT045,685.8187278111119
FDK16,OUT049,1451.1290564896744
NCQ29,OUT010,680.0432189272459
FDZ01,OUT019,222.21637877257405
FDW27,OUT035,2168.878777226113
FDD17,OUT018,2775.399430619944
FDW39,OUT013,2577.2915397172574
DRH59,OUT045,932.9631423366761
FDS52,OUT013,1390.9937147740434
FDU40,OUT027,6141.205863006104
NCF54,OUT013,2462.4367230263833
FDH46,OUT045,1544.5903102995019
NCP14,OUT049,1899.5803644640744
FDH50,OUT049,3391.5943317963215
DRF15,OUT010,297.863277103867
FDV27,OUT027,2143.404795114441
NCJ06,OUT049,1915.9562205352925
FDN02,OUT018,3486.37438346892
FDQ51,OUT049,828.1303088625269
FDQ07,OUT017,4552.82836633618
FDS45,OUT049,1822.578359282494
NCJ06,OUT045,1956.1762483177836
FDD36,OUT035,1913.638783165603
FDY25,OUT045,3597.6274248128393
FDU52,OUT046,2277.6188009598677
DRK47,OUT017,3620.2912466994076
NCL30,OUT017,2046.7226543928737
FDN22,OUT035,3676.3554090916723
NCF30,OUT027,3687.6061142700214
FDK03,OUT035,4937.266694858773
FDT45,OUT017,883.0379039725761
NCC54,OUT027,5842.306774381353
FDP08,OUT018,3016.693953586183
FDU44,OUT046,2623.982211899079
DRG39,OUT035,787.0259323356216
FDU32,OUT049,2135.5175018603936
